Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	4	Egg	2	2	0	0.0947253589267968	0.262140621793042	114.235416765046	1	0.677928571428571	0.277264596048765	0.632992396151539
m2	4	Egg	2	2	0	0.269698502841583	0.140751862243739	77.7878015499401	0.968965517241379	0.550583333333333	0.230842300754502	0.48067850163296
m3	4	Egg	2	2	0	1.0790010400649	0.129814583708073	60.4560801407065	0.878014184397163	0.22247619047619	0.174020844475097	0.14745546550088
m4	4	Egg	2	2	1e-04	0.608594833104263	0.595323324734671	84.2574606650717	1	0.577698412698413	0.226663724393228	0.512970814653295
m5	4	Egg	2	2	0.1	1.33684295052227	0.210077548240378	76.0943792088168	0.85752688172043	0.297809523809524	0.185641714462457	0.216167039958216
m6	4	Egg	2	2	1e-04	0.661493400862107	0.691961532941411	87.9996690388125	0.975	0.650821428571429	0.243850164434531	0.594337648946197
m7	4	Egg	2	2	0	0.56581060341664	0.14910392889691	90.6642200269681	0.939583333333333	0.449107142857143	0.189538968212744	0.364123913379835
m1	5	Egg	2	2	0.1	0.819633692018598	0.274163703682288	87.8190850463524	0.9296875	0.505619047619048	0.208655257357035	0.432299848906925
m2	5	Egg	2	2	0	0.217651287326812	0.152452615795916	98.1348724046526	0.9796918767507	0.56647619047619	0.247567862027554	0.499031754725534
m3	5	Egg	2	2	0	1.10828120906529	0.166135590341543	60.4560801407065	0.847741147741148	0.220571428571429	0.149089835076094	0.119788372350535
m4	5	Egg	2	2	0.1	1.05436842452801	0.214865248162001	75.819085034997	0.928240740740741	0.505476190476191	0.24259823130042	0.431151584222146
m5	5	Egg	2	2	0.1	1.59356393422054	0.303831991593355	68.9991970470543	0.794047619047619	0.218547619047619	0.178983265672972	0.145341135922201
m6	5	Egg	2	2	1e-04	0.789701201505577	0.660131756353932	81.3642625123125	0.952777777777778	0.424047619047619	0.183955080972672	0.341064862076129
m7	5	Egg	2	2	0	0.561459459885088	0.174972824945327	90.6642200269681	0.96036036036036	0.437059523809524	0.19996611630047	0.363461092842983
m1	6	Egg	2	2	1e-04	0.664232010749493	0.749001442965423	104.909639759228	0.945833333333333	0.554888888888889	0.251606399767957	0.484081701860718
m2	6	Egg	2	2	0	0.29060939080402	0.142236350580476	98.1348724046526	0.956547619047619	0.524904761904762	0.234042325780536	0.45251608890745
m3	6	Egg	2	2	0	1.13693108052065	0.165886491537643	60.4560801407065	0.890243902439024	0.185	0.152633831477075	0.112910431303721
m4	6	Egg	2	2	1e-04	0.794835452697559	0.825346414374612	75.819085034997	0.953846153846154	0.571011904761905	0.247120454329429	0.502550447255974
m5	6	Egg	2	2	0.1	1.66467088743582	0.284880958268617	84.7441617171669	0.770940170940171	0.238404761904762	0.182043888770777	0.165696226593105
m6	6	Egg	2	2	0.1	1.12019101129307	0.299903191804473	81.3642625123125	0.91412037037037	0.413936507936508	0.18084372133123	0.33397475469351
m7	6	Egg	2	2	0	0.571105332254905	0.170567160778761	90.6642200269681	0.949591836734694	0.432333333333333	0.208578239888254	0.351044229419978
m1	7	Egg	2	2	1e-04	0.664566903147006	0.781259603143799	87.8190850463524	0.955405405405405	0.565928571428571	0.23463074548952	0.488273379784552
m2	7	Egg	2	2	0	0.298508840209149	0.131124312994699	77.7878015499401	0.978282828282828	0.551964285714286	0.218066978470694	0.481475140920014
